series_id,year,period,period_name,value,latest,footnote_code,footnote_text,date
CUUR0000SA0,2024,M12,December,315.605,False,,,2024-12-01
CUUR0000SA0,2024,M11,November,315.493,False,,,2024-11-01
CUUR0000SA0,2024,M10,October,315.664,False,,,2024-10-01
CUUR0000SA0,2024,M09,September,315.301,False,,,2024-09-01
CUUR0000SA0,2024,M08,August,314.796,False,,,2024-08-01
CUUR0000SA0,2024,M07,July,314.54,False,,,2024-07-01
CUUR0000SA0,2024,M06,June,314.175,False,,,2024-06-01
CUUR0000SA0,2024,M05,May,314.069,False,,,2024-05-01
CUUR0000SA0,2024,M04,April,313.548,False,,,2024-04-01
CUUR0000SA0,2024,M03,March,312.332,False,,,2024-03-01
CUUR0000SA0,2024,M02,February,310.326,False,,,2024-02-01
CUUR0000SA0,2024,M01,January,308.417,False,,,2024-01-01
CUUR0000SA0,2023,M12,December,306.746,False,,,2023-12-01
CUUR0000SA0,2023,M11,November,307.051,False,,,2023-11-01
CUUR0000SA0,2023,M10,October,307.671,False,,,2023-10-01
CUUR0000SA0,2023,M09,September,307.789,False,,,2023-09-01
CUUR0000SA0,2023,M08,August,307.026,False,,,2023-08-01
CUUR0000SA0,2023,M07,July,305.691,False,,,2023-07-01
CUUR0000SA0,2023,M06,June,305.109,False,,,2023-06-01
CUUR0000SA0,2023,M05,May,304.127,False,,,2023-05-01
CUUR0000SA0,2023,M04,April,303.363,False,,,2023-04-01
CUUR0000SA0,2023,M03,March,301.836,False,,,2023-03-01
CUUR0000SA0,2023,M02,February,300.84,False,,,2023-02-01
CUUR0000SA0,2023,M01,January,299.17,False,,,2023-01-01
CUUR0000SA0,2022,M12,December,296.797,False,,,2022-12-01
CUUR0000SA0,2022,M11,November,297.711,False,,,2022-11-01
CUUR0000SA0,2022,M10,October,298.012,False,,,2022-10-01
CUUR0000SA0,2022,M09,September,296.808,False,,,2022-09-01
CUUR0000SA0,2022,M08,August,296.171,False,,,2022-08-01
CUUR0000SA0,2022,M07,July,296.276,False,,,2022-07-01
CUUR0000SA0,2022,M06,June,296.311,False,,,2022-06-01
CUUR0000SA0,2022,M05,May,292.296,False,,,2022-05-01
CUUR0000SA0,2022,M04,April,289.109,False,,,2022-04-01
CUUR0000SA0,2022,M03,March,287.504,False,,,2022-03-01
CUUR0000SA0,2022,M02,February,283.716,False,,,2022-02-01
CUUR0000SA0,2022,M01,January,281.148,False,,,2022-01-01
CUUR0000SA0,2021,M12,December,278.802,False,,,2021-12-01
CUUR0000SA0,2021,M11,November,277.948,False,,,2021-11-01
CUUR0000SA0,2021,M10,October,276.589,False,,,2021-10-01
CUUR0000SA0,2021,M09,September,274.31,False,,,2021-09-01
CUUR0000SA0,2021,M08,August,273.567,False,,,2021-08-01
CUUR0000SA0,2021,M07,July,273.003,False,,,2021-07-01
CUUR0000SA0,2021,M06,June,271.696,False,,,2021-06-01
CUUR0000SA0,2021,M05,May,269.195,False,,,2021-05-01
CUUR0000SA0,2021,M04,April,267.054,False,,,2021-04-01
CUUR0000SA0,2021,M03,March,264.877,False,,,2021-03-01
CUUR0000SA0,2021,M02,February,263.014,False,,,2021-02-01
CUUR0000SA0,2021,M01,January,261.582,False,,,2021-01-01
CUUR0000SA0,2020,M12,December,260.474,False,,,2020-12-01
CUUR0000SA0,2020,M11,November,260.229,False,,,2020-11-01
CUUR0000SA0,2020,M10,October,260.388,False,,,2020-10-01
CUUR0000SA0,2020,M09,September,260.28,False,,,2020-09-01
CUUR0000SA0,2020,M08,August,259.918,False,,,2020-08-01
CUUR0000SA0,2020,M07,July,259.101,False,,,2020-07-01
CUUR0000SA0,2020,M06,June,257.797,False,,,2020-06-01
CUUR0000SA0,2020,M05,May,256.394,False,,,2020-05-01
CUUR0000SA0,2020,M04,April,256.389,False,,,2020-04-01
CUUR0000SA0,2020,M03,March,258.115,False,,,2020-03-01
CUUR0000SA0,2020,M02,February,258.678,False,,,2020-02-01
CUUR0000SA0,2020,M01,January,257.971,False,,,2020-01-01
