series_id,year,period,period_name,value,latest,footnote_code,footnote_text,date
LNS14000000,2024,M12,December,4.1,False,,,2024-12-01
LNS14000000,2024,M11,November,4.2,False,,,2024-11-01
LNS14000000,2024,M10,October,4.1,False,,,2024-10-01
LNS14000000,2024,M09,September,4.1,False,,,2024-09-01
LNS14000000,2024,M08,August,4.2,False,,,2024-08-01
LNS14000000,2024,M07,July,4.2,False,,,2024-07-01
LNS14000000,2024,M06,June,4.1,False,,,2024-06-01
LNS14000000,2024,M05,May,4.0,False,,,2024-05-01
LNS14000000,2024,M04,April,3.9,False,,,2024-04-01
LNS14000000,2024,M03,March,3.9,False,,,2024-03-01
LNS14000000,2024,M02,February,3.9,False,,,2024-02-01
LNS14000000,2024,M01,January,3.7,False,,,2024-01-01
LNS14000000,2023,M12,December,3.8,False,,,2023-12-01
LNS14000000,2023,M11,November,3.7,False,,,2023-11-01
LNS14000000,2023,M10,October,3.9,False,,,2023-10-01
LNS14000000,2023,M09,September,3.8,False,,,2023-09-01
LNS14000000,2023,M08,August,3.7,False,,,2023-08-01
LNS14000000,2023,M07,July,3.5,False,,,2023-07-01
LNS14000000,2023,M06,June,3.6,False,,,2023-06-01
LNS14000000,2023,M05,May,3.6,False,,,2023-05-01
LNS14000000,2023,M04,April,3.4,False,,,2023-04-01
LNS14000000,2023,M03,March,3.5,False,,,2023-03-01
LNS14000000,2023,M02,February,3.6,False,,,2023-02-01
LNS14000000,2023,M01,January,3.5,False,,,2023-01-01
LNS14000000,2022,M12,December,3.5,False,,,2022-12-01
LNS14000000,2022,M11,November,3.6,False,,,2022-11-01
LNS14000000,2022,M10,October,3.6,False,,,2022-10-01
LNS14000000,2022,M09,September,3.5,False,,,2022-09-01
LNS14000000,2022,M08,August,3.6,False,,,2022-08-01
LNS14000000,2022,M07,July,3.5,False,,,2022-07-01
LNS14000000,2022,M06,June,3.6,False,,,2022-06-01
LNS14000000,2022,M05,May,3.6,False,,,2022-05-01
LNS14000000,2022,M04,April,3.7,False,,,2022-04-01
LNS14000000,2022,M03,March,3.7,False,,,2022-03-01
LNS14000000,2022,M02,February,3.8,False,,,2022-02-01
LNS14000000,2022,M01,January,4.0,False,,,2022-01-01
LNS14000000,2021,M12,December,3.9,False,,,2021-12-01
LNS14000000,2021,M11,November,4.2,False,,,2021-11-01
LNS14000000,2021,M10,October,4.5,False,,,2021-10-01
LNS14000000,2021,M09,September,4.7,False,,,2021-09-01
LNS14000000,2021,M08,August,5.1,False,,,2021-08-01
LNS14000000,2021,M07,July,5.4,False,,,2021-07-01
LNS14000000,2021,M06,June,5.9,False,,,2021-06-01
LNS14000000,2021,M05,May,5.8,False,,,2021-05-01
LNS14000000,2021,M04,April,6.1,False,,,2021-04-01
LNS14000000,2021,M03,March,6.1,False,,,2021-03-01
LNS14000000,2021,M02,February,6.2,False,,,2021-02-01
LNS14000000,2021,M01,January,6.4,False,,,2021-01-01
LNS14000000,2020,M12,December,6.7,False,,,2020-12-01
LNS14000000,2020,M11,November,6.7,False,,,2020-11-01
LNS14000000,2020,M10,October,6.9,False,,,2020-10-01
LNS14000000,2020,M09,September,7.8,False,,,2020-09-01
LNS14000000,2020,M08,August,8.4,False,,,2020-08-01
LNS14000000,2020,M07,July,10.2,False,,,2020-07-01
LNS14000000,2020,M06,June,11.0,False,,,2020-06-01
LNS14000000,2020,M05,May,13.2,False,,,2020-05-01
LNS14000000,2020,M04,April,14.8,False,,,2020-04-01
LNS14000000,2020,M03,March,4.4,False,,,2020-03-01
LNS14000000,2020,M02,February,3.5,False,,,2020-02-01
LNS14000000,2020,M01,January,3.6,False,,,2020-01-01
